run_id,commit_sha,job_name,step_name,step_duration_s,conclusion
26971401966,dc63982,test,Setup Python 3.12,0.0,success
26971401966,dc63982,test,Cache pip,1.0,success
26971401966,dc63982,test,Install dependencies,13.0,success
26971401966,dc63982,test,Run pytest,3.0,success
26971401966,dc63982,test,Upload test results,1.0,success
26971401966,dc63982,test,Post Cache pip,0.0,success
26971401966,dc63982,test,Post Setup Python 3.12,0.0,success
26971401966,dc63982,test,Post Checkout,1.0,success
26971401966,dc63982,test,Complete job,0.0,success
26971401966,dc63982,metrics,Set up job,2.0,success
26971401966,dc63982,metrics,Checkout,0.0,success
26971401966,dc63982,metrics,Setup Python 3.12,1.0,success
26971401966,dc63982,metrics,Install requests,2.0,success
26971401966,dc63982,metrics,Download test results,0.0,success
26971401966,dc63982,metrics,Snapshot metrics,0.0,success
26971401966,dc63982,metrics,Upload metrics snapshot,1.0,success
26971401966,dc63982,metrics,Post Setup Python 3.12,0.0,success
26971401966,dc63982,metrics,Post Checkout,0.0,success
26971401966,dc63982,metrics,Complete job,1.0,success
26970928532,acfce10,lint,Set up job,1.0,success
26970928532,acfce10,lint,Checkout,1.0,success
26970928532,acfce10,lint,Setup Python 3.12,0.0,success
26970928532,acfce10,lint,Cache pip,2.0,success
26970928532,acfce10,lint,Install dependencies,12.0,success
26970928532,acfce10,lint,Run flake8,0.0,success
26970928532,acfce10,lint,Post Cache pip,0.0,success
26970928532,acfce10,lint,Post Setup Python 3.12,0.0,success
26970928532,acfce10,lint,Post Checkout,0.0,success
26970928532,acfce10,lint,Complete job,1.0,success
26970928532,acfce10,test,Set up job,1.0,success
26970928532,acfce10,test,Checkout,1.0,success
26970928532,acfce10,test,Setup Python 3.12,0.0,success
26970928532,acfce10,test,Cache pip,1.0,success
26970928532,acfce10,test,Install dependencies,13.0,success
26970928532,acfce10,test,Run pytest,4.0,success
26970928532,acfce10,test,Upload test results,1.0,success
26970928532,acfce10,test,Post Cache pip,0.0,success
26970928532,acfce10,test,Post Setup Python 3.12,0.0,success
26970928532,acfce10,test,Post Checkout,0.0,success
26970928532,acfce10,test,Complete job,0.0,success
26970928532,acfce10,metrics,Set up job,1.0,success
26970928532,acfce10,metrics,Checkout,1.0,success
26970928532,acfce10,metrics,Setup Python 3.12,0.0,success
26970928532,acfce10,metrics,Install requests,2.0,success
26970928532,acfce10,metrics,Download test results,0.0,success
26970928532,acfce10,metrics,Snapshot metrics,0.0,success
26970928532,acfce10,metrics,Upload metrics snapshot,1.0,success
26970928532,acfce10,metrics,Post Setup Python 3.12,0.0,success
26970928532,acfce10,metrics,Post Checkout,0.0,success
